"Municipio" "Habitantes" "Provincia" "INE" "AMB" "lat" "lon"
"Barberà de la Conca" 473 "Tarragona" "43021" "0" 41.41058 1.22771
"Barberà del Vallès" 33091 "Barcelona" "08252" "1" 41.51503 2.12715
"Barcelona" 1636762 "Barcelona" "08019" "1" 41.38804 2.17001
"la Baronia de Rialb" 237 "Lleida" "25042" "0" 41.93282 1.19609
"Bàscara" 1004 "Girona" "17016" "0" 42.15838 2.91059
"Bassella" 224 "Lleida" "25044" "0" 42.00583 1.29527
"Batea" 1890 "Tarragona" "43022" "0" 41.09349 0.31306
"Bausen" 58 "Lleida" "25045" "0" 42.83441 0.71712
"Begues" 7098 "Barcelona" "08020" "1" 41.32951 1.92705
"Begur" 3925 "Girona" "17013" "0" 41.95185 3.20621
"Belianes" 525 "Lleida" "25046" "0" 41.55989 1.01704
"Bellaguarda" 287 "Lleida" "25170" "0" 41.33853 0.73581
"Bellcaire d'Empordà" 693 "Girona" "17018" "0" 42.08101 3.09408
"Bellcaire d'Urgell" 1230 "Lleida" "25047" "0" 41.7577 0.90604
"Bell-lloc d'Urgell" 2315 "Lleida" "25048" "0" 41.63036 0.78463
"Bellmunt d'Urgell" 185 "Lleida" "25049" "0" 41.77341 0.95256
"Bellmunt del Priorat" 280 "Tarragona" "43023" "0" 41.16339 0.76559
"Bellprat" 64 "Barcelona" "08021" "0" 41.51716 1.4336
"Bellpuig" 5133 "Lleida" "25050" "0" 41.62701 1.00885
"Bellvei" 2203 "Tarragona" "43024" "0" 41.23869 1.5792
"Bellver de Cerdanya" 1937 "Lleida" "25051" "0" 42.37147 1.77589
"Bellvís" 2255 "Lleida" "25052" "0" 41.67306 0.81471
"Benavent de Segrià" 1499 "Lleida" "25053" "0" 41.69844 0.63404
"Benifallet" 739 "Tarragona" "43025" "0" 40.9748 0.51736
"Benissanet" 1161 "Tarragona" "43026" "0" 41.05854 0.63453
"Berga" 16494 "Barcelona" "08022" "0" 42.10376 1.84617
"Besalú" 2492 "Girona" "17019" "0" 42.19815 2.6983
"Bescanó" 4960 "Girona" "17020" "0" 41.96625 2.73931
"Beuda" 190 "Girona" "17021" "0" 42.23703 2.70928
"Bigues i Riells" 9092 "Barcelona" "08023" "0" 41.67365 2.2142
"Biosca" 176 "Lleida" "25055" "0" 41.83971 1.35558
"la Bisbal d'Empordà" 10974 "Girona" "17022" "0" 41.96309 3.03594
"la Bisbal de Falset" 216 "Tarragona" "43027" "0" 41.27924 0.72213
"la Bisbal del Penedès" 3528 "Tarragona" "43028" "0" 41.27737 1.49053
"Biure" 232 "Girona" "17234" "0" 42.33754 2.89515
"Blancafort" 389 "Tarragona" "43029" "0" 41.43997 1.15757
"Blanes" 39028 "Girona" "17023" "0" 41.6727 2.79095
"Boadella i les Escaules" 252 "Girona" "17029" "0" 42.33037 2.85668
"Bolvir" 369 "Girona" "17024" "0" 42.41812 1.88004
"Bonastre" 688 "Tarragona" "43030" "0" 41.22093 1.43998
"Es Bòrdes" 259 "Lleida" "25057" "0" 42.73803 0.71989
"Bordils" 1779 "Girona" "17025" "0" 42.04438 2.91182
"les Borges Blanques" 6087 "Lleida" "25058" "0" 41.51986 0.87113
"les Borges del Camp" 2037 "Tarragona" "43031" "0" 41.17186 1.02116
"Borrassà" 714 "Girona" "17026" "0" 42.22308 2.92581
"Borredà" 445 "Barcelona" "08024" "0" 42.13426 1.99453
"Bossòst" 1109 "Lleida" "25059" "0" 42.78249 0.69131
"Bot" 573 "Tarragona" "43032" "0" 41.00914 0.38355
"Botarell" 1068 "Tarragona" "43033" "0" 41.13561 0.98962
"Bovera" 247 "Lleida" "25056" "0" 41.32642 0.63802
"Bràfim" 692 "Tarragona" "43034" "0" 41.26881 1.34132
"Breda" 3740 "Girona" "17027" "0" 41.75178 2.55949
"el Bruc" 2050 "Barcelona" "08025" "0" 41.57775 1.78135
"el Brull" 263 "Barcelona" "08026" "0" 41.81668 2.305
"Brunyola i Sant Martí Sapresa" 383 "Girona" "17028" "0" 41.90446 2.68434
"Cabacés" 298 "Tarragona" "43035" "0" 41.24569 0.73085
"Cabanabona" 75 "Lleida" "25060" "0" 41.85198 1.21836
"Cabanelles" 279 "Girona" "17031" "0" 42.23072 2.82012
"Cabanes" 948 "Girona" "17030" "0" 42.30782 2.97809
"les Cabanyes" 964 "Barcelona" "08027" "0" 41.36973 1.68954
"Cabó" 92 "Lleida" "25061" "0" 42.23805 1.24898
"Cabra del Camp" 1163 "Tarragona" "43036" "0" 41.39564 1.27552
"Cabrera d'Anoia" 1410 "Barcelona" "08028" "0" 41.47801 1.70376
"Cabrera de Mar" 4680 "Barcelona" "08029" "0" 41.52749 2.39339
